COADD_OBJECT_ID,RA,DEC,SOF_CM_G_1,SOF_CM_G_2,Z,VEL_DISP,ID
188536135,317.99977400,-2.04704400,0.15633853,0.07979204,0.45913777,272.88403000,188536135
210952287,326.33904100,-0.00366500,0.17379911,0.08219054,0.44777280,251.80692000,210952287
210938821,326.57065000,0.20958400,0.23670489,-0.18767021,0.62727630,304.14548000,210938821
212176275,325.92444600,-0.76518900,0.11021399,0.07464980,0.54977393,228.24649000,212176275
307585462,38.23871100,-6.15510600,-0.00718064,-0.04139130,0.30039185,265.68323000,307585462
121713323,37.06885500,4.31817900,0.02386822,0.00529491,0.25145712,253.83638000,121713323
113896986,35.76840500,3.10319000,0.01554107,-0.05363677,0.48247450,225.90433000,113896986
215011316,326.96208200,1.23058600,0.05587757,0.11001693,0.36937767,243.09431000,215011316
242399706,328.74452400,-0.78953900,0.01624733,0.05763802,0.61570007,274.63977000,242399706
195611297,319.59302200,0.56069000,0.10988586,-0.13683118,0.35042793,193.02615000,195611297
199598504,321.22975800,-0.99866600,-0.02180612,-0.10498626,0.25451180,230.15140000,199598504
199647651,322.27955700,-1.07766000,0.22260240,-0.12810842,0.60259587,297.25098000,199647651
210925056,326.07131500,1.13336500,0.21289878,-0.11845632,0.49266875,210.41210000,210925056
196335924,320.78545400,-1.09017800,0.06879678,-0.08813958,0.54913480,131.00555000,196335924
200315111,322.08206100,0.42030700,-0.03083176,-0.21143149,0.48377523,285.52713000,200315111
196455685,319.94283000,0.61034400,-0.07539108,0.09058607,0.27724245,200.11818000,196455685
198570690,321.42767700,1.04860600,-0.03146915,0.27788768,0.13735217,119.05745000,198570690
122383442,348.67062500,-0.20265300,-0.18193578,-0.31077968,0.55892600,272.44144000,122383442
95055097,339.81659600,1.21562800,0.16643653,-0.10007345,0.48703855,221.72006000,95055097
135626121,353.84167200,-0.30761300,-0.16224078,0.09742798,0.38729808,234.60358000,135626121
136116001,353.60131800,-0.45902400,0.09317754,0.31598568,0.46542290,245.74785000,136116001
221583786,21.53337700,-1.95372800,0.03123801,0.04632328,0.33727157,226.28229000,221583786
124160691,349.43159900,-1.75596700,0.00955812,0.12455414,0.60746070,238.63911000,124160691
202239658,323.08957200,0.31041900,0.08907670,0.06926588,0.39846580,153.52380000,202239658
273550012,11.22837500,1.11267700,0.01515285,0.11272539,0.51564944,277.66537000,273550012
210522004,324.96956600,-0.56021800,-0.04533738,0.03159019,0.30501320,248.00267000,210522004
210242866,324.91882500,0.52049100,0.08597866,0.08771432,0.56822485,355.41153000,210242866
